Organism	tclassif	cov	count	percentage	gen
Cryptococcus_depauperatus_CBS7841	Unclassified	440981	1100	0.0272557483057443	16179376
Cryptococcus_depauperatus_CBS7841	Non-Repeat	15300101	NA	0.945654579014667	16179376
Cryptococcus_deuterogattii_R265	DNA	2927	9	0.000166779467401993	17550122
Cryptococcus_deuterogattii_R265	LINE	4271	6	0.000243360131627575	17550122
Cryptococcus_deuterogattii_R265	LTR	141386	216	0.00805612633348076	17550122
Cryptococcus_deuterogattii_R265	Unclassified	113682	130	0.00647756180840224	17550122
Cryptococcus_deuterogattii_R265	Non-Repeat	17287856	NA	0.985056172259087	17550122
Cryptococcus_floricola_DSM27421	DNA	12237	19	0.000563921286597683	21699837
Cryptococcus_floricola_DSM27421	LINE	93266	87	0.00429800463478136	21699837
Cryptococcus_floricola_DSM27421	LTR	815264	402	0.0375700517934766	21699837
Cryptococcus_floricola_DSM27421	Rolling Circle	34858	47	0.00160637151329754	21699837
Cryptococcus_floricola_DSM27421	SINE	10690	50	0.000492630428514279	21699837
Cryptococcus_floricola_DSM27421	Unclassified	557595	771	0.0256958151344639	21699837
Cryptococcus_floricola_DSM27421	Non-Repeat	20175927	NA	0.929773205208869	21699837
Cryptococcus_gatti_MF34	DNA	2154	7	0.000120426841029525	17886378
Cryptococcus_gatti_MF34	LINE	22802	30	0.00127482489747226	17886378
Cryptococcus_gatti_MF34	LTR	220278	303	0.012315405612025	17886378
Cryptococcus_gatti_MF34	SINE	20597	7	0.00115154672455206	17886378
Cryptococcus_gatti_MF34	Unclassified	74220	141	0.00414952652795328	17886378
Cryptococcus_gatti_MF34	Non-Repeat	17546327	NA	0.980988269396968	17886378
Cryptococcus_gatti_WM276	DNA	46572	41	0.00258089328766581	18044915
Cryptococcus_gatti_WM276	LINE	20531	26	0.00113777205378911	18044915
Cryptococcus_gatti_WM276	LTR	404706	385	0.0224277033169732	18044915
Cryptococcus_gatti_WM276	SINE	22350	7	0.00123857607530986	18044915
Cryptococcus_gatti_WM276	Unclassified	69724	189	0.00386391401677425	18044915
Cryptococcus_gatti_WM276	Non-Repeat	17481032	NA	0.968751141249488	18044915
Cryptococcus_neoformans_H99	DNA	49490	65	0.00259247077131951	19089897
Cryptococcus_neoformans_H99	LINE	38981	52	0.0020419701583513	19089897
Cryptococcus_neoformans_H99	LTR	721644	576	0.0378024040674499	19089897
Cryptococcus_neoformans_H99	SINE	11975	5	0.000627295160366764	19089897
Cryptococcus_neoformans_H99	Unclassified	274190	267	0.0143630947825439	19089897
Cryptococcus_neoformans_H99	Non-Repeat	17993617	NA	0.942572765059969	19089897
Cryptococcus_sp._OR849	DNA	415	1	0.0000216669530359134	19153593
Cryptococcus_sp._OR849	LINE	399	1	0.0000208316006297095	19153593
Cryptococcus_sp._OR849	LTR	182978	118	0.00955319453639847	19153593
Cryptococcus_sp._OR849	SINE	8655	50	0.000451873442230917	19153593
Cryptococcus_sp._OR849	Unclassified	114268	255	0.00596587804700664	19153593
Cryptococcus_sp._OR849	Non-Repeat	18846878	NA	0.983986555420698	19153593
Cryptococcus_sp._OR918	DNA	141	1	0.00000575028072381108	24520542
Cryptococcus_sp._OR918	LINE	8702	12	0.000354886119564568	24520542
Cryptococcus_sp._OR918	LTR	96732	100	0.00394493726933116	24520542
Cryptococcus_sp._OR918	Other (Simple Repeat, Microsatellite, RNA)	132	1	0.0000053832415286742	24520542
Cryptococcus_sp._OR918	Unclassified	104367	156	0.00425630885320561	24520542
Cryptococcus_sp._OR918	Non-Repeat	24310468	NA	0.991432734235646	24520542
Cryptococcus_tetragattii_IND107	DNA	19166	26	0.00107676443915494	17799622
Cryptococcus_tetragattii_IND107	LINE	6879	12	0.000386468881193095	17799622
Cryptococcus_tetragattii_IND107	LTR	202904	267	0.0113993431995354	17799622
Cryptococcus_tetragattii_IND107	SINE	52385	5	0.00294304002635562	17799622
Cryptococcus_tetragattii_IND107	Unclassified	60564	129	0.00340254416638735	17799622
Cryptococcus_tetragattii_IND107	Non-Repeat	17457724	NA	0.980791839287374	17799622
Cryptococcus_wingfieldii_CBS7118	DNA	5244	7	0.000251953419751178	20813371
Cryptococcus_wingfieldii_CBS7118	LINE	169679	76	0.00815240356787951	20813371
Cryptococcus_wingfieldii_CBS7118	LTR	812724	419	0.0390481676418491	20813371
Cryptococcus_wingfieldii_CBS7118	Rolling Circle	11009	17	0.000528938824950557	20813371
Cryptococcus_wingfieldii_CBS7118	SINE	10091	46	0.000484832562682902	20813371
Cryptococcus_wingfieldii_CBS7118	Unclassified	306475	521	0.0147249092902827	20813371
Cryptococcus_wingfieldii_CBS7118	Non-Repeat	19498149	NA	0.936808794692604	20813371
Kwoniella_bestiolae_CBS10118	LINE	146047	16	0.00594855786766397	24551665
Kwoniella_bestiolae_CBS10118	LTR	27980	32	0.00113963757651467	24551665
Kwoniella_bestiolae_CBS10118	SINE	11229	58	0.000457362056707763	24551665
Kwoniella_bestiolae_CBS10118	Unclassified	22570	33	0.0009192859221564	24551665
Kwoniella_bestiolae_CBS10118	Non-Repeat	24343839	NA	0.991535156576957	24551665
Kwoniella_botswanensis_CBS12716	LTR	14766	18	0.000641797805786925	23007246
Kwoniella_botswanensis_CBS12716	SINE	9781	48	0.000425126936096567	23007246
Kwoniella_botswanensis_CBS12716	Unclassified	216289	10	0.00940090787050306	23007246
Kwoniella_botswanensis_CBS12716	Non-Repeat	22766410	NA	0.989532167387613	23007246
Kwoniella_dejecticola_CBS10117	DNA	370	1	0.0000154599739186062	23932770
Kwoniella_dejecticola_CBS10117	LTR	7504	15	0.00031354498455465	23932770
Kwoniella_dejecticola_CBS10117	Other (Simple Repeat, Microsatellite, RNA)	678	3	0.0000283293576130135	23932770
Kwoniella_dejecticola_CBS10117	SINE	7802	42	0.000325996531116122	23932770
Kwoniella_dejecticola_CBS10117	Unclassified	6566	20	0.000274351861485319	23932770
Kwoniella_dejecticola_CBS10117	Non-Repeat	23909850	NA	0.999042317291312	23932770
Kwoniella_dendrophila_CBS6074	LTR	492	3	0.000021367131618925	23026020
Kwoniella_dendrophila_CBS6074	Unclassified	22098	55	0.000959696899420742	23026020
Kwoniella_dendrophila_CBS6074	Non-Repeat	23003430	NA	0.99901893596896	23026020
Kwoniella_europaea_PYCC6329	LTR	41974	26	0.00183826709406866	22833461
Kwoniella_europaea_PYCC6329	Other (Simple Repeat, Microsatellite, RNA)	182	1	0.00000797075835327811	22833461
Kwoniella_europaea_PYCC6329	SINE	10899	50	0.00047732579830977	22833461
Kwoniella_europaea_PYCC6329	Unclassified	8133	8	0.00035618778949017	22833461
Kwoniella_europaea_PYCC6329	Non-Repeat	22772273	NA	0.997320248559778	22833461
Kwoniella_heveanensis_CBS569	LTR	3989	7	0.000158045037169903	25239641
Kwoniella_heveanensis_CBS569	Non-Repeat	25235652	NA	0.99984195496283	25239641
Kwoniella_mangrovensis_CBS8507	DNA	2525	7	0.000110760561853019	22796923
Kwoniella_mangrovensis_CBS8507	LTR	32466	29	0.00142413956480004	22796923
Kwoniella_mangrovensis_CBS8507	SINE	11228	51	0.000492522609301264	22796923
Kwoniella_mangrovensis_CBS8507	Unclassified	141397	49	0.00620245986706188	22796923
Kwoniella_mangrovensis_CBS8507	Non-Repeat	22609307	NA	0.991770117396984	22796923
Kwoniella_newhampshirensis_CBS13917	LTR	78520	93	0.00383781394364025	20459564
Kwoniella_newhampshirensis_CBS13917	Other (Simple Repeat, Microsatellite, RNA)	42077	56	0.00205659319035342	20459564
Kwoniella_newhampshirensis_CBS13917	SINE	4697	20	0.000229574784682606	20459564
Kwoniella_newhampshirensis_CBS13917	Unclassified	90392	189	0.00441808046349375	20459564
Kwoniella_newhampshirensis_CBS13917	Non-Repeat	20243878	NA	0.98945793761783	20459564
Kwoniella_pini_CBS10737	LINE	469	1	0.0000224537947343984	20887338
Kwoniella_pini_CBS10737	LTR	20671	22	0.000989642624636993	20887338
Kwoniella_pini_CBS10737	Other (Simple Repeat, Microsatellite, RNA)	11605	21	0.000555599760965232	20887338
Kwoniella_pini_CBS10737	SINE	5065	26	0.000242491407952512	20887338
Kwoniella_pini_CBS10737	Unclassified	7840	15	0.000375347016455615	20887338
Kwoniella_pini_CBS10737	Non-Repeat	20841688	NA	0.997814465395255	20887338
Kwoniella_shandongensis_CBS12478	LTR	109901	145	0.00515838975593482	21305292
Kwoniella_shandongensis_CBS12478	Other (Simple Repeat, Microsatellite, RNA)	208	1	0.00000976283263331946	21305292
Kwoniella_shandongensis_CBS12478	SINE	7699	32	0.000361365617518877	21305292
Kwoniella_shandongensis_CBS12478	Unclassified	164222	449	0.00770803798417783	21305292
Kwoniella_shandongensis_CBS12478	Non-Repeat	21023262	NA	0.986762443809735	21305292
Kwoniella_shivajii_CBS11374	LTR	3590	5	0.000161919610656854	22171496
Kwoniella_shivajii_CBS11374	Other (Simple Repeat, Microsatellite, RNA)	150	1	0.00000676544334220839	22171496
Kwoniella_shivajii_CBS11374	SINE	5824	29	0.000262679613500144	22171496
Kwoniella_shivajii_CBS11374	Unclassified	37230	83	0.00167918303753612	22171496
Kwoniella_shivajii_CBS11374	Non-Repeat	22124702	NA	0.997889452294965	22171496
Kwoniella_sp._B9012	LINE	254	1	0.0000110298884791425	23028338
Kwoniella_sp._B9012	LTR	41121	28	0.00178566946516071	23028338
Kwoniella_sp._B9012	SINE	11939	52	0.000518448183277491	23028338
Kwoniella_sp._B9012	Non-Repeat	22975024	NA	0.997684852463083	23028338
Kwoniella_sp._CBS6097	LINE	722	1	0.0000276858410160903	26078312
Kwoniella_sp._CBS6097	LTR	12219	17	0.000468550265063168	26078312
Kwoniella_sp._CBS6097	Other (Simple Repeat, Microsatellite, RNA)	3230	5	0.000123857709808825	26078312
Kwoniella_sp._CBS6097	Penelope	113	1	0.00000433310254129945	26078312
Kwoniella_sp._CBS6097	Unclassified	18976	32	0.0007276544586168	26078312
Kwoniella_sp._CBS6097	Non-Repeat	26043052	NA	0.998647918622954	26078312
Kwoniella_sp._CBS9459	DNA	2082	8	0.0000824996588270593	25236468
Kwoniella_sp._CBS9459	LTR	6068	9	0.000240445691528624	25236468
Kwoniella_sp._CBS9459	Other (Simple Repeat, Microsatellite, RNA)	5570	9	0.000220712343740019	25236468
Kwoniella_sp._CBS9459	SINE	7577	36	0.000300240112839879	25236468
Kwoniella_sp._CBS9459	Unclassified	16863	31	0.000668199686263545	25236468
Kwoniella_sp._CBS9459	Non-Repeat	25198308	NA	0.998487902506801	25236468
Kwoniella_sp._DSM27419	LTR	18483	15	0.00102208246689776	18083668
Kwoniella_sp._DSM27419	Other (Simple Repeat, Microsatellite, RNA)	10460	30	0.000578422474909404	18083668
Kwoniella_sp._DSM27419	SINE	3828	24	0.000211682718351166	18083668
Kwoniella_sp._DSM27419	Unclassified	45087	70	0.0024932441803289	18083668
Kwoniella_sp._DSM27419	Non-Repeat	18005810	NA	0.995694568159513	18083668
