Group	Species	chr_no	contig_length_bp	cen_length_bp
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_1	2180458	18061
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_2	2009518	22508
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_3	1930994	29242
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_4	1738247	8790
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_5	1576396	18004
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_6	1372257	22897
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_7	1321231	23746
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_8	1266453	13993
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_9	1026021	30018
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_10	800662	11694
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_11	723165	18127
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_12	702143	26074
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_13	678869	36371
Cryptococcus	Cryptococcus_bacillisporus_CA1280	chr_14	499112	27815
Cryptococcus	Cryptococcus_decagattii_7685027	chr_1	2178358	17391
Cryptococcus	Cryptococcus_decagattii_7685027	chr_2	1958746	48457
Cryptococcus	Cryptococcus_decagattii_7685027	chr_3	1948669	27277
Cryptococcus	Cryptococcus_decagattii_7685027	chr_4	1828366	46621
Cryptococcus	Cryptococcus_decagattii_7685027	chr_5	1768996	32775
Cryptococcus	Cryptococcus_decagattii_7685027	chr_6	1348120	37278
Cryptococcus	Cryptococcus_decagattii_7685027	chr_7	1331191	30896
Cryptococcus	Cryptococcus_decagattii_7685027	chr_8	1008489	43683
Cryptococcus	Cryptococcus_decagattii_7685027	chr_9	995671	42441
Cryptococcus	Cryptococcus_decagattii_7685027	chr_10	799298	29663
Cryptococcus	Cryptococcus_decagattii_7685027	chr_11	732117	31466
Cryptococcus	Cryptococcus_decagattii_7685027	chr_12	694084	35943
Cryptococcus	Cryptococcus_decagattii_7685027	chr_13	649227	30529
Cryptococcus	Cryptococcus_decagattii_7685027	chr_14	527214	40056
Cryptococcus	Cryptococcus_gatti_WM276	chr_1	2230640	44155
Cryptococcus	Cryptococcus_gatti_WM276	chr_2	1990029	39197
Cryptococcus	Cryptococcus_gatti_WM276	chr_3	1961117	27260
Cryptococcus	Cryptococcus_gatti_WM276	chr_4	1814642	39287
Cryptococcus	Cryptococcus_gatti_WM276	chr_5	1333358	30368
Cryptococcus	Cryptococcus_gatti_WM276	chr_6	1325861	26077
Cryptococcus	Cryptococcus_gatti_WM276	chr_7	1324643	48209
Cryptococcus	Cryptococcus_gatti_WM276	chr_8	1274545	29693
Cryptococcus	Cryptococcus_gatti_WM276	chr_9	1059789	47051
Cryptococcus	Cryptococcus_gatti_WM276	chr_10	989388	24950
Cryptococcus	Cryptococcus_gatti_WM276	chr_11	821007	23326
Cryptococcus	Cryptococcus_gatti_WM276	chr_12	705984	29171
Cryptococcus	Cryptococcus_gatti_WM276	chr_13	687447	28914
Cryptococcus	Cryptococcus_gatti_WM276	chr_14	526465	22952
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_1	2215861	31373
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_2	1970860	17891
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_3	1930962	19625
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_4(a)	1557038	15857
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_5	1330454	25527
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_6	1299794	23233
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_7	1273650	21184
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_8	1242197	18285
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_9	1036396	22773
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_10	966072	23600
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_11	808226	15055
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_12	685443	39406
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_13	677467	15003
Cryptococcus	Cryptococcus_tetragattii_IND107	ctg_14	525519	23418
Cryptococcus	Cryptococcus_sp._MF34	chr_1	1306066	18587
Cryptococcus	Cryptococcus_sp._MF34	chr_2	1001573	20642
Cryptococcus	Cryptococcus_sp._MF34	chr_3	710513	21873
Cryptococcus	Cryptococcus_sp._MF34	chr_4	1323151	26108
Cryptococcus	Cryptococcus_sp._MF34	chr_5	677079	22237
Cryptococcus	Cryptococcus_sp._MF34	chr_6	1281580	31144
Cryptococcus	Cryptococcus_sp._MF34	chr_7	2008787	32975
Cryptococcus	Cryptococcus_sp._MF34	chr_8	829676	16252
Cryptococcus	Cryptococcus_sp._MF34	chr_9	969988	20603
Cryptococcus	Cryptococcus_sp._MF34	chr_10	1942700	24841
Cryptococcus	Cryptococcus_sp._MF34	chr_11	1271511	17804
Cryptococcus	Cryptococcus_sp._MF34	chr_12	2204281	21619
Cryptococcus	Cryptococcus_sp._MF34	chr_13	521119	27015
Cryptococcus	Cryptococcus_sp._MF34	chr_14(a)	1507400	19067
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_1	2207848	21074
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_2	2171391	13532
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_3	1968033	18772
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_4	1750766	12310
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_5	1316417	17862
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_6	1307262	15188
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_7	1243496	8771
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_8	1233638	11697
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_9	972356	13770
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_10	815166	9355
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_11	733013	14198
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_12	663894	14099
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_13	650339	15193
Cryptococcus	Cryptococcus_deuterogattii_R265	chr_14	516503	21658
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_1	3151204	33987
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_2	2487610	32760
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_3	2462433	94185
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_4	2160883	28509
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_5	1561840	26529
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_6	1510128	92542
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_7	1474230	35366
Cryptococcus	Cryptococcus_depauperatus_CBS7841	chr_8	1371048	28885
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_1	1306066	84172
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_2	1001573	88864
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_3	710513	75608
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_4	1323151	121538
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_5	677079	52222
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_6	1281580	89226
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_8	969988	65444
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_9	1942700	109375
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_10	1271511	71706
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_11	2204281	61702
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_12	521119	47474
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_13	1507400	64021
Cryptococcus	Cryptococcus_floricola_DSM27421	chr_14	330954	72971
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_1	2260188	59818
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_2	2197867	75994
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_3	1689188	80854
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_4	1672591	84698
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_5	1601376	79260
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_6	1575190	98211
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_7	1480951	62284
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_8	1477762	69335
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_9	1284505	104003
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_10	1183967	61670
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_11	1180593	89903
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_12	1161429	56401
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_13	1112179	79876
Cryptococcus	Cryptococcus_wingfieldii_CBS7118	chr_14	935585	52983
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_1	2227464	30092
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_2	2220979	22499
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_3	1707710	32230
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_4	1608529	48380
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_5	1576773	38235
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_6	1545655	39883
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_7	1509211	34517
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_8	1429001	22372
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_9	1219259	36548
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_10	1165603	30886
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_11	1107941	36189
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_12	1061032	44634
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_13	1002165	39137
Cryptococcus	Cryptococcus_amylolentus_CBS6039	chr_14	832781	32457
Cryptococcus	Cryptococcus_sp._OR849	chr_1	2212545	40708
Cryptococcus	Cryptococcus_sp._OR849	chr_2	2066068	28462
Cryptococcus	Cryptococcus_sp._OR849	chr_3	1907520	22272
Cryptococcus	Cryptococcus_sp._OR849	chr_4	1580408	32980
Cryptococcus	Cryptococcus_sp._OR849	chr_5	1544423	31465
Cryptococcus	Cryptococcus_sp._OR849	chr_6	1474773	20655
Cryptococcus	Cryptococcus_sp._OR849	chr_7	1436975	30793
Cryptococcus	Cryptococcus_sp._OR849	chr_8	1124564	35579
Cryptococcus	Cryptococcus_sp._OR849	chr_9	1109269	32198
Cryptococcus	Cryptococcus_sp._OR849	chr_10	1079453	22812
Cryptococcus	Cryptococcus_sp._OR849	chr_11	1076499	14067
Cryptococcus	Cryptococcus_sp._OR849	chr_12	903130	30721
Cryptococcus	Cryptococcus_sp._OR849	chr_13	875485	39262
Cryptococcus	Cryptococcus_sp._OR849	chr_14	762481	20919
Cryptococcus	Cryptococcus_sp._OR918	chr_1	4758796	40925
Cryptococcus	Cryptococcus_sp._OR918	chr_2	4459873	41007
Cryptococcus	Cryptococcus_sp._OR918	chr_3	4020467	36188
Cryptococcus	Cryptococcus_sp._OR918	chr_4	3710839	55457
Cryptococcus	Cryptococcus_sp._OR918	chr_5	3291332	35410
Cryptococcus	Cryptococcus_sp._OR918	chr_6	2509120	35063
Cryptococcus	Cryptococcus_sp._OR918	chr_7	1770115	21970
Kwoniella	Kwoniella_europaea_PYCC6329	chr_1	16668455	13695
Kwoniella	Kwoniella_europaea_PYCC6329	chr_2	4002275	9504
Kwoniella	Kwoniella_europaea_PYCC6329	chr_3	2162731	29501
Kwoniella	Kwoniella_sp._B9012	chr_1	18217905	27758
Kwoniella	Kwoniella_sp._B9012	chr_2	2624867	21770
Kwoniella	Kwoniella_sp._B9012	chr_3	2185566	18776
Kwoniella	Kwoniella_botswanensis_CBS12716	chr_1	18234046	8372
Kwoniella	Kwoniella_botswanensis_CBS12716	chr_2	2577072	9703
Kwoniella	Kwoniella_botswanensis_CBS12716	chr_3	2196128	17908
Kwoniella	Kwoniella_mangrovensis_CBS8507	ctg_2(a)	4638931	25095
Kwoniella	Kwoniella_mangrovensis_CBS8507	ctg_3	2516065	16370
Kwoniella	Kwoniella_mangrovensis_CBS8507	ctg_4	2107591	10482
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_1	8410264	8827
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_2	4033336	6684
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_3	2313741	13340
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_4	2197185	14594
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_5	2180016	7293
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_6	1950998	4057
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_7	1787790	6645
Kwoniella	Kwoniella_bestiolae_CBS10118	chr_8	1678335	5621
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_1	3948395	5568
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_2	2592705	6680
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_3	2430949	5681
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_4	2239534	5525
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_5	2115541	7176
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_6	2085381	8129
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_7	1890953	7378
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_8	1773182	4536
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_9	1661965	7999
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_10	1598656	14820
Kwoniella	Kwoniella_dejecticola_CBS10117	chr_11	1595509	6102
Kwoniella	Kwoniella_pini_CBS10737	chr_1	3462388	5703
Kwoniella	Kwoniella_pini_CBS10737	chr_2	2317804	5091
Kwoniella	Kwoniella_pini_CBS10737	chr_3	2150283	6450
Kwoniella	Kwoniella_pini_CBS10737	chr_4	1939489	5106
Kwoniella	Kwoniella_pini_CBS10737	chr_5	1859852	6100
Kwoniella	Kwoniella_pini_CBS10737	chr_6	1836121	7400
Kwoniella	Kwoniella_pini_CBS10737	chr_7	1626370	5724
Kwoniella	Kwoniella_pini_CBS10737	chr_8	1460316	5901
Kwoniella	Kwoniella_pini_CBS10737	chr_9	1436723	8260
Kwoniella	Kwoniella_pini_CBS10737	chr_10	1407932	5285
Kwoniella	Kwoniella_pini_CBS10737	chr_11	1390060	5477
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_1	4006139	5111
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_2	2515540	7119
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_3	2331810	5785
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_4	2037242	7072
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_5	1989622	6267
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_6	1855982	5451
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_7	1847903	5666
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_8	1650302	5573
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_9	1621887	4945
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_10	1612883	7065
Kwoniella	Kwoniella_dendrophila_CBS6074	chr_11	1556710	5498
Kwoniella	Kwoniella_shivajii_CBS11374	chr_1	3724095	6179
Kwoniella	Kwoniella_shivajii_CBS11374	chr_2	2374439	4840
Kwoniella	Kwoniella_shivajii_CBS11374	chr_3	2170389	6440
Kwoniella	Kwoniella_shivajii_CBS11374	chr_4	2078303	8196
Kwoniella	Kwoniella_shivajii_CBS11374	chr_5	2021889	7482
Kwoniella	Kwoniella_shivajii_CBS11374	chr_6	1816837	8521
Kwoniella	Kwoniella_shivajii_CBS11374	chr_7	1800561	5661
Kwoniella	Kwoniella_shivajii_CBS11374	chr_8	1575365	5406
Kwoniella	Kwoniella_shivajii_CBS11374	chr_9	1526928	5329
Kwoniella	Kwoniella_shivajii_CBS11374	chr_10	1511845	6657
Kwoniella	Kwoniella_shivajii_CBS11374	chr_11	1483245	10751
Kwoniella	Kwoniella_heveanensis_CBS569	chr_1	13314169	7283
Kwoniella	Kwoniella_heveanensis_CBS569	chr_2	5071532	8303
Kwoniella	Kwoniella_heveanensis_CBS569	chr_3	2336095	6336
Kwoniella	Kwoniella_heveanensis_CBS569	chr_4	2326647	8615
Kwoniella	Kwoniella_heveanensis_CBS569	chr_5	2191198	5794
Kwoniella	Kwoniella_sp._CBS6097	chr_1	13655223	7913
Kwoniella	Kwoniella_sp._CBS6097	chr_2	5246128	9560
Kwoniella	Kwoniella_sp._CBS6097	chr_3	2495360	7809
Kwoniella	Kwoniella_sp._CBS6097	chr_4	2486266	10362
Kwoniella	Kwoniella_sp._CBS6097	chr_5	2195335	5741
Kwoniella	Kwoniella_sp._CBS9459	chr_1	13071904	6350
Kwoniella	Kwoniella_sp._CBS9459	chr_2	4848594	7987
Kwoniella	Kwoniella_sp._CBS9459	chr_3	2318839	5929
Kwoniella	Kwoniella_sp._CBS9459	chr_4	2220046	5247
Kwoniella	Kwoniella_sp._CBS9459	chr_5	2032083	6677
Kwoniella	Kwoniella_sp._CBS9459	chr_6(d)	745002	16734
Kwoniella	Kwoniella_sp._DSM27419	chr_1	3173113	12949
Kwoniella	Kwoniella_sp._DSM27419	chr_2	1870272	7303
Kwoniella	Kwoniella_sp._DSM27419	chr_3	1627639	6060
Kwoniella	Kwoniella_sp._DSM27419	chr_4	1593046	29010
Kwoniella	Kwoniella_sp._DSM27419	chr_5	1531090	12958
Kwoniella	Kwoniella_sp._DSM27419	chr_6	1529599	5815
Kwoniella	Kwoniella_sp._DSM27419	chr_7	1389511	6540
Kwoniella	Kwoniella_sp._DSM27419	chr_8	1258023	12780
Kwoniella	Kwoniella_sp._DSM27419	chr_9	1179249	7292
Kwoniella	Kwoniella_sp._DSM27419	chr_10	1159314	6099
Kwoniella	Kwoniella_sp._DSM27419	chr_11	1141911	5181
Kwoniella	Kwoniella_sp._DSM27419	chr_12(d)	227642	6210
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_1	1932656	7603
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_2	1807273	3981
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_3	1796805	5711
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_4	1750254	9139
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_5	1733374	4052
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_6	1529259	4707
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_7	1426175	5436
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_8	1357472	7581
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_9	1331085	5930
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_10	1141205	8145
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_11	1120717	8610
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_12	1115002	4366
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_13	935372	6691
Kwoniella	Kwoniella_newhampshirensis_CBS13917	ctg_15(a)	646935	9722
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_1	1970055	5010
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_2	1919173	6711
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_3	1888789	8246
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_4	1845870	4607
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_5	1777501	5956
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_6	1599119	7269
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_7	1548260	5716
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_8	1489048	11462
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_9	1458286	9108
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_10	1397571	7154
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_11	1222757	9055
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_12	1145109	11342
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_13	1126084	6756
Kwoniella	Kwoniella_shandongensis_CBS12478	chr_14	917670	5100
